"chrom","window","MDS1","MDS2"
"NW_022145594.1",1,0.000999577569454157,0.00953876294069792
"NW_022145594.1",2,0.0128274060013734,-0.011767732307156
"NW_022145594.1",3,-0.00659131409391322,0.00818769557432394
"NW_022145594.1",4,-0.00532256531939963,-0.00304860679651712
"NW_022145594.1",5,-0.0265870143621775,0.00275684805778511
"NW_022145594.1",6,0.00573365380648028,-0.00129915841557127
"NW_022145594.1",7,0.00357747809089228,0.00970638260058536
"NW_022145594.1",8,0.013413366447522,0.000601656216505452
"NW_022145594.1",9,0.0167375743564494,0.00850951232672375
"NW_022145594.1",10,0.00238820793574671,-0.00383224147566548
"NW_022145594.1",11,0.010815400887976,0.0188317669181652
"NW_022145594.1",12,0.00181945758667977,-0.000878900245755659
"NW_022145594.1",13,0.0126987599042697,-0.00478756984013726
"NW_022145594.1",14,-0.00420093392123703,-0.0243347223613378
"NW_022145594.1",15,0.000908264643871491,-0.0259484876325466
"NW_022145594.1",16,0.00998210854747125,-0.00993102913334439
"NW_022145594.1",17,0.0153729625433053,0.0139723271758494
"NW_022145594.1",18,0.00508719461630185,-0.0121571015403699
"NW_022145594.1",19,-0.0364470081496521,-0.0172810819687975
"NW_022145594.1",20,0.00545986432295106,-0.00822397217102286
"NW_022145594.1",21,-0.0425926509142083,0.0202311244834888
"NW_022145594.1",22,0.0114172744793478,-0.00598868798537013
"NW_022145594.1",23,0.0111742135938303,-0.00667758044254171
"NW_022145594.1",24,0.00736475277626746,0.00135994421123585
"NW_022145594.1",25,0.0139013305814917,0.015463793827752
"NW_022145594.1",26,0.010087530790736,-0.0111570807471919
"NW_022145594.1",27,-0.00426254046497588,0.00603531744589169
"NW_022145594.1",28,-0.00328673830000865,-0.0077463661819606
"NW_022145594.1",29,0.00945491340423502,0.0136447885196681
"NW_022145594.1",30,0.0108912685689652,-0.0111684163222203
"NW_022145594.1",31,-0.0365558570644253,0.0526929345055939
"NW_022145594.1",32,-0.0443913010990378,0.704846277321037
"NW_022145594.1",33,-0.0678659693713312,0.851222596851023
"NW_022145594.1",34,-0.0578539024684252,0.734898036213314
"NW_022145594.1",35,0.00189147689520797,0.00609845220939198
"NW_022145594.1",36,0.010058485162475,0.0125078920115266
"NW_022145594.1",37,0.00113513592824968,0.00204026831731124
"NW_022145594.1",38,0.0090921615250563,-0.00335146288755304
"NW_022145594.1",39,0.0165509137323912,-0.00906620111629448
"NW_022145595.1",1,0.0124795003597475,0.069979163493268
"NW_022145595.1",2,0.00634469860574776,-0.00411513475757059
"NW_022145595.1",3,-0.0175359221561377,-0.00515451446277794
"NW_022145595.1",4,-6.13387036062351e-05,-0.0078109891398202
"NW_022145595.1",5,0.00656965675303475,-0.00969473800403692
"NW_022145595.1",6,0.012689880720361,-0.00376159328640553
"NW_022145595.1",7,0.0144167992128964,-0.00125360659672111
"NW_022145595.1",8,0.00657250523520811,-0.0112170491865761
"NW_022145595.1",9,0.00863686089957739,-0.00947188820807022
"NW_022145595.1",10,0.0118400054565031,-0.00487859270881096
"NW_022145595.1",11,-0.0148645935718548,-0.0167762957548104
"NW_022145595.1",12,-0.0104725983407187,0.00319648266431153
"NW_022145595.1",13,0.0078026176737697,-0.00727959373796364
"NW_022145595.1",14,0.0023127123277652,0.0466357348625386
"NW_022145595.1",15,0.00757678372155364,-0.0118833530058854
"NW_022145595.1",16,-0.00193964433643993,-0.00798881823640308
"NW_022145595.1",17,0.00509084797547773,-0.00979326909588935
"NW_022145595.1",18,0.0102624232247516,-0.00848116430822021
"NW_022145595.1",19,0.0150656555540438,0.00483196545170834
"NW_022145595.1",20,-0.0210951214458031,-0.0105176833808345
"NW_022145595.1",21,0.0149659873861502,0.00682343414684301
"NW_022145595.1",22,-0.00894575540918775,-0.0117273202342602
"NW_022145595.1",23,0.0117470642033153,-0.00618529233157313
"NW_022145595.1",24,0.00277661439112594,0.00701692823460385
"NW_022145595.1",25,0.00476983101542901,0.00661596493597427
"NW_022145595.1",26,-0.000293417334616976,0.014161282934707
"NW_022145595.1",27,-0.00104076129186163,-0.0142537671093498
"NW_022145595.1",28,0.0110848551543303,0.00285008373368935
"NW_022145595.1",29,0.00875860637575779,-0.00688983627959997
"NW_022145595.1",30,0.00562019688371727,-0.000720806630517303
"NW_022145595.1",31,0.00970097598836608,-0.00963459107480125
"NW_022145595.1",32,0.00491806540491125,-0.0129735759642857
"NW_022145595.1",33,0.00888642546249732,-0.00591284252051647
"NW_022145595.1",34,0.00940969263153612,-0.0078560197185462
"NW_022145595.1",35,0.0091347523374619,0.0170782641720562
"NW_022145595.1",36,0.0114365709601316,-0.00748871986294276
"NW_022145595.1",37,0.0121440728956494,-0.00608111480764591
"NW_022145595.1",38,-0.00137400916182345,-0.00895706799603588
"NW_022145595.1",39,0.00568703428648345,0.00368016433048741
"NW_022145595.1",40,0.000340377663045523,-0.00021111254015693
"NW_022145595.1",41,-0.0202475693396687,0.0252853778319127
"NW_022145595.1",42,-0.0169477873746051,0.00635338375260711
"NW_022145595.1",43,0.0127820855134823,-0.0108244733364241
"NW_022145595.1",44,-0.00172648655825752,-0.000617828654042525
"NW_022145596.1",1,0.00424250628735982,-0.0136688217190331
"NW_022145596.1",2,0.0153131349918609,-0.00965178499417277
"NW_022145596.1",3,-0.011461875323207,-0.00781347233291272
"NW_022145596.1",4,0.011832004934215,0.00170977221829697
"NW_022145596.1",5,-0.0176498370305781,-0.00256113063577519
"NW_022145596.1",6,0.0162920658201488,0.0117378526058104
"NW_022145596.1",7,-0.0148485301780307,-0.00568108592054437
"NW_022145596.1",8,0.012801372542325,-0.00894795949817926
"NW_022145596.1",9,0.0094071947015349,-0.0123307559419269
"NW_022145596.1",10,0.0103122475127046,-0.00859109024984372
"NW_022145596.1",11,0.00683345848556506,-0.00476068932482875
"NW_022145596.1",12,0.00318823985329439,-0.0105430872338125
"NW_022145596.1",13,0.00761784351249405,-0.0069555274307106
"NW_022145596.1",14,0.0127787645325344,-0.00192791395086995
"NW_022145596.1",15,0.00936821948529295,-0.0110116105458577
"NW_022145596.1",16,0.0143373234202713,-0.00414155923199653
"NW_022145596.1",17,0.00923519089904396,-0.00137775933465977
"NW_022145596.1",18,0.0127249790909247,0.00850294964359499
"NW_022145596.1",19,-0.0321904205627,-0.01209701323853
"NW_022145596.1",20,0.00855611915967406,0.00567036074100298
"NW_022145596.1",21,0.0115229943296902,0.000432040522365382
"NW_022145596.1",22,0.0017530278836244,-0.0156142988487751
"NW_022145596.1",23,0.0145182845059169,-0.0116339883519314
"NW_022145596.1",24,0.0144453303169899,-0.00262865326337762
"NW_022145596.1",25,0.0162408079001715,-0.0134002180207864
"NW_022145596.1",26,0.0034379426521984,-0.00853033927382943
"NW_022145596.1",27,0.00615273611857692,-0.0120282297844645
"NW_022145596.1",28,0.00997602341707806,-0.0117263259564064
"NW_022145596.1",29,0.00738348091962175,0.0054514683526016
